STORAGE_IN,CONSTANT_HEAD_IN,RIVER_LEAKAGE_IN,RECHARGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,RIVER_LEAKAGE_OUT,RECHARGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,datetime,leakage
0.0,0.0,484283.56,914428.75,2919.8748,1401632.1,0.0,74297.98,1324439.6,0.0,2899.3977,1401637.0,-4.875,-0.0,1971-01-01 00:00:00.000000,-840156.06
0.5948,0.0,472010.66,2210374.5,2263.725,2684649.5,1214240.9,77540.36,1390627.6,0.0,2250.4,2684659.5,-10.0,-0.0,1971-02-01 00:00:00.000000,-918617.0
0.0,0.0,467344.1,2210374.5,2282.1008,2680000.5,1188932.4,79333.04,1409473.4,0.0,2269.4338,2680008.2,-7.75,-0.0,1971-03-01 00:00:00.000000,-942129.25
0.0,0.0,463575.72,2210374.5,2299.33,2676249.5,1166148.8,80854.5,1426967.8,0.0,2286.1116,2676257.0,-7.5,-0.0,1971-04-01 00:00:00.000000,-963392.0
0.0,0.0,460515.9,2210374.5,2309.5415,2673200.0,1146812.0,82063.6,1442035.6,0.0,2295.9731,2673207.2,-7.25,-0.0,1971-05-01 00:00:00.000000,-981519.75
941642.25,0.0,477837.44,0.0,2322.1477,1421801.9,0.0,77578.96,1341925.9,0.0,2307.1487,1421812.0,-10.125,-0.0,1971-06-01 00:00:00.000000,-864088.44
912323.5,0.0,483810.6,0.0,2324.2876,1398458.4,0.0,75263.99,1320894.4,0.0,2309.093,1398467.5,-9.125,-0.0,1971-07-01 00:00:00.000000,-837083.75
889858.5,0.0,487955.03,0.0,2319.4646,1380133.0,0.0,73555.98,1304281.9,0.0,2304.2708,1380142.1,-9.125,-0.0,1971-08-01 00:00:00.000000,-816326.9
871317.06,0.0,491261.75,0.0,2322.7559,1364901.5,0.0,72232.414,1290370.8,0.0,2307.0117,1364910.1,-8.625,-0.0,1971-09-01 00:00:00.000000,-799109.0
855658.2,0.0,494032.0,0.0,2320.5098,1352010.8,0.0,71179.79,1278535.2,0.0,2304.457,1352019.5,-8.75,-0.0,1971-10-01 00:00:00.000000,-784503.25
841092.8,0.0,496616.0,0.0,2313.5698,1340022.4,0.0,70249.48,1267484.5,0.0,2297.3032,1340031.2,-8.875,-0.0,1971-11-01 00:00:00.000000,-770868.5
828130.7,0.0,498936.56,0.0,2303.4111,1329370.6,0.0,69464.67,1257627.5,0.0,2287.5725,1329379.8,-9.125,-0.0,1971-12-01 00:00:00.000000,-758690.94
0.0026436,0.0,479230.16,2210374.5,2291.2632,2691896.0,1256053.2,74268.94,1359304.8,0.0,2277.9739,2691905.0,-9.0,-0.0,1972-01-01 00:00:00.000000,-880074.6
0.0,0.0,472291.97,2210374.5,2291.8525,2684958.2,1220794.9,76930.68,1384962.8,0.0,2278.489,2684966.8,-8.5,-0.0,1972-02-01 00:00:00.000000,-912670.75
0.0,0.0,468028.47,2210374.5,2292.1204,2680695.0,1196162.9,78704.52,1403555.6,0.0,2279.534,2680702.5,-7.5,-0.0,1972-02-29 00:00:00.000000,-935527.1
0.0,0.0,464287.28,2210374.5,2303.9688,2676965.8,1173027.9,80270.945,1421383.6,0.0,2290.877,2676973.5,-7.75,-0.0,1972-03-31 00:00:00.000000,-957096.4
0.0,0.0,461192.88,2210374.5,2313.0652,2673880.5,1153196.1,81533.71,1436857.9,0.0,2299.7488,2673887.5,-7.0,-0.0,1972-04-30 00:00:00.000000,-975665.0
935832.94,0.0,478524.7,0.0,2326.1687,1416683.8,0.0,77106.24,1337274.8,0.0,2311.2036,1416692.2,-8.5,-0.0,1972-05-31 00:00:00.000000,-858750.06
906957.3,0.0,484470.12,0.0,2322.2354,1393749.8,0.0,74834.92,1316616.6,0.0,2306.9285,1393758.4,-8.625,-0.0,1972-06-30 00:00:00.000000,-832146.5
884894.7,0.0,488588.22,0.0,2324.728,1375807.6,0.0,73169.94,1300336.9,0.0,2309.537,1375816.2,-8.625,-0.0,1972-07-31 00:00:00.000000,-811748.6
866699.7,0.0,491870.0,0.0,2326.373,1360896.1,0.055385,71883.4,1286711.6,0.0,2309.6143,1360904.8,-8.625,-0.0,1972-08-31 00:00:00.000000,-794841.6
851337.1,0.0,494615.88,0.0,2315.9382,1348269.0,0.00077732,70858.81,1275118.6,0.0,2300.861,1348278.4,-9.375,-0.0,1972-09-30 00:00:00.000000,-780502.75
837048.3,0.0,497178.66,0.0,2303.2666,1336530.2,0.0,69957.1,1264283.4,0.0,2297.0847,1336537.6,-7.375,-0.0,1972-10-31 00:00:00.000000,-767104.75
824304.25,0.0,499479.22,0.0,2300.4895,1326084.0,0.0,69195.08,1254613.4,0.0,2284.6404,1326093.1,-9.125,-0.0,1972-11-30 00:00:00.000000,-755134.1
0.0025113,0.0,479701.6,2210374.5,2289.2048,2692365.2,1259707.5,74019.01,1356371.9,0.0,2275.6829,2692374.2,-9.0,-0.0,1972-12-31 00:00:00.000000,-876670.25
0.0,0.0,472733.2,2210374.5,2292.23,2685400.0,1224268.8,76698.82,1382162.4,0.0,2278.5513,2685408.5,-8.5,-0.0,1973-01-31 00:00:00.000000,-909429.2
0.0,0.0,468445.03,2210374.5,2287.1035,2681106.5,1199489.0,78486.67,1400863.8,0.0,2274.6692,2681114.2,-7.75,-0.0,1973-02-28 00:00:00.000000,-932418.75
0.0,0.0,464680.94,2210374.5,2296.9834,2677352.5,1176203.1,80067.48,1418805.0,0.0,2283.8909,2677359.5,-7.0,-0.0,1973-03-31 00:00:00.000000,-954124.06
