stream_BC,pump,analytical,apportionment,method,Time,MSE.sum,KGE.sum
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,161,0.00339624268169439,0.501927783734164
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,171,0.00617178758905969,0.481402479645983
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,181,0.00789733022807688,0.465990757160442
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,191.3,0.0091825428115708,0.469420556107986
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,201.7,0.0101629171604961,0.485099375687556
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,212,0.0109507496212404,0.505501217410523
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,222.3,0.0116172698938736,0.528857197258929
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,232.7,0.0122068401088562,0.553236790155006
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,243,0.0127323301225436,0.576091646075445
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,253,0.0132232610861638,0.593374246267625
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,263,0.0136714856201421,0.607697330145345
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,273,0.0141600245070259,0.61730265010548
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,283.3,0.0145438540209642,0.626033468014498
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,293.7,0.014719723223747,0.65907373322673
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,304,0.0148204899082087,0.661481947097575
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,314,0.00763010925597898,0.655065884975069
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,324,0.00506802750127451,0.673526490809003
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,334,0.00394529973159238,0.658047889181283
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,344.3,0.00336428382758068,0.626167586977083
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,354.7,0.00283952242653322,0.624965190021892
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,365,0.00250756221572908,0.57573374963465
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,375.3,0.00223877746010056,0.557256478085913
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,385.7,0.00196975496280831,0.533632643454725
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,396,0.00186018827178597,0.494150388046334
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,405.3,0.00174745496344851,0.47184651706491
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,414.7,0.00166039633021642,0.449545071898103
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,424,0.00156508596184627,0.440548123353463
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,434.3,0.00145426700784746,0.440005136256271
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,444.7,0.00141059990041896,0.408332641304468
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,455,0.00136212311034298,0.39837808989865
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,465,0.0013293155850746,0.387037966647797
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,475,0.00126413460752938,0.378679701257333
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,485,0.00123838488802403,0.359959268729645
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,495.3,0.00116838111540295,0.349729335757553
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,505.7,0.001131632093756,0.344611698786943
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,516,0.00110987109347148,0.331975861725151
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,526,0.00488357242963005,0.294425128453452
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,536,0.00760866354737566,0.295301540539834
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,546,0.00934659483961051,0.337749370658692
